Designator,Mid X,Mid Y,Rotation,Layer
C1,134.4,-64.4,0.0,top
J1,166.115,-107.835,270.0,top
J10,196.15,-87.315,0.0,top
J11,199.9,-87.345,0.0,top
J2,197.8,-72.2,90.0,top
J3,197.9,-67.25,90.0,top
J4,207.6,-87.375,0.0,top
J5,166.095,-113.9,90.0,top
J6,166.065,-117.85,90.0,top
J7,166.135,-101.8,270.0,top
J8,166.125,-97.95,270.0,top
J9,211.4,-87.425,0.0,top
K1,180.59,-50.7,0.0,top
K2,191.1404,-50.7,0.0,top
K3,201.6908,-50.7,0.0,top
K4,127.76,-50.66,90.0,top
K5,136.81,-50.7,90.0,top
K6,147.23,-50.68,270.0,top
K7,158.68,-50.7,270.0,top
K8,167.62,-50.64,90.0,top
MES1,209.465,-79.85,270.0,top
MES3,197.975,-79.87,270.0,top
R1,172.2,-80.68,90.0,top
R2,176.25,-80.68,90.0,top
R3,180.3,-80.68,90.0,top
U1,130.65,-82.655,0.0,top
U2,144.0,-82.655,0.0,top
U3,157.35,-82.655,0.0,top
